"","name","result_results","technical_results","series_bakers","series_bakes","series_results","episode_bakes","episode_results","age_bakers","occupation_bakers","hometown_bakers","signature_bakes","stopper_bakes"
"1","Ali","IN",5,4,4,4,1,3,25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"2","Ali","IN",5,4,4,4,2,3,25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"3","Ali","IN",5,4,4,4,3,3,25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"4","Ali","IN",5,4,4,4,4,3,25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"5","Ali","IN",9,4,4,4,1,2,25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"6","Ali","IN",9,4,4,4,2,2,25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"7","Ali","IN",9,4,4,4,3,2,25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"8","Ali","IN",9,4,4,4,4,2,25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"9","Ali","IN",11,4,4,4,1,1,25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"10","Ali","IN",11,4,4,4,2,1,25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"11","Ali","IN",11,4,4,4,3,1,25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"12","Ali","IN",11,4,4,4,4,1,25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"13","Ali","OUT",8,4,4,4,1,4,25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"14","Ali","OUT",8,4,4,4,2,4,25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"15","Ali","OUT",8,4,4,4,3,4,25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"16","Ali","OUT",8,4,4,4,4,4,25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"17","Alice","IN",1,10,NA,10,NA,6,28,"Geography teacher","Essex",NA,NA
"18","Alice","IN",3,10,NA,10,NA,8,28,"Geography teacher","Essex",NA,NA
"19","Alice","IN",5,10,NA,10,NA,1,28,"Geography teacher","Essex",NA,NA
"20","Alice","IN",6,10,NA,10,NA,5,28,"Geography teacher","Essex",NA,NA
"21","Alice","IN",6,10,NA,10,NA,7,28,"Geography teacher","Essex",NA,NA
"22","Alice","IN",7,10,NA,10,NA,3,28,"Geography teacher","Essex",NA,NA
"23","Alice","IN",8,10,NA,10,NA,4,28,"Geography teacher","Essex",NA,NA
